,,,
RIDE SUMMARY,,,
Total Time,58.3, Minutes, 
Total Distance,18.02, MI, 
AVG Power,143, ,
MAX Power,334, ,
AVG RPM,66, ,
MAX RPM,100, ,
AVG HR,0, ,
MAX HR,0, ,
CAL,0, ,
,,,
RIDE DATA, ,,
Power, RPM, HR, DISTANCE
126,68,0,12.3
116,65,0,12.31
111,65,0,12.33
138,73,0,12.34
125,69,0,12.36
160,75,0,12.37
145,76,0,12.39
149,76,0,12.41
155,75,0,12.42
148,72,0,12.44
140,70,0,12.46
139,71,0,12.47
140,72,0,12.49
145,72,0,12.5
146,72,0,12.52
143,72,0,12.54
144,72,0,12.55
145,72,0,12.57
145,72,0,12.59
144,71,0,12.6
140,70,0,12.62
138,70,0,12.63
146,73,0,12.65
153,75,0,12.67
128,74,0,12.68
128,75,0,12.7
132,76,0,12.71
146,76,0,12.73
133,76,0,12.75
144,75,0,12.76
130,74,0,12.78
125,73,0,12.79
126,73,0,12.81
131,72,0,12.83
129,72,0,12.84
131,74,0,12.86
136,75,0,12.87
155,79,0,12.89
147,78,0,12.9
147,78,0,12.92
148,78,0,12.94
147,78,0,12.95
145,77,0,12.97
145,78,0,12.99
147,80,0,13
153,79,0,13.02
139,77,0,13.04
142,76,0,13.05
140,76,0,13.07
140,76,0,13.08
140,76,0,13.1
139,75,0,13.12
133,73,0,13.13
130,73,0,13.15
130,73,0,13.16
130,73,0,13.18
135,73,0,13.2
130,73,0,13.21
129,72,0,13.23
126,72,0,13.24
126,72,0,13.26
126,72,0,13.27
125,71,0,13.29
120,70,0,13.31
118,69,0,13.32
119,79,0,13.34
172,84,0,13.35
163,82,0,13.37
147,78,0,13.38
139,76,0,13.4
137,75,0,13.42
150,79,0,13.43
143,77,0,13.45
135,75,0,13.47
134,75,0,13.48
135,75,0,13.5
167,84,0,13.51
165,82,0,13.53
157,80,0,13.55
149,78,0,13.56
146,77,0,13.58
139,76,0,13.6
137,75,0,13.61
135,74,0,13.63
132,73,0,13.64
122,71,0,13.66
120,70,0,13.68
118,70,0,13.69
116,69,0,13.71
115,67,0,13.72
112,68,0,13.74
112,68,0,13.75
112,67,0,13.77
111,67,0,13.78
110,68,0,13.8
112,68,0,13.81
109,66,0,13.83
102,63,0,13.84
97,62,0,13.85
97,64,0,13.87
141,65,0,13.88
148,63,0,13.9
133,60,0,13.91
126,58,0,13.93
119,58,0,13.95
119,59,0,13.96
123,60,0,13.98
127,61,0,13.99
132,62,0,14.01
135,62,0,14.02
135,63,0,14.04
136,62,0,14.05
134,61,0,14.07
132,64,0,14.09
149,66,0,14.1
157,68,0,14.12
159,67,0,14.14
140,63,0,14.15
135,61,0,14.17
131,63,0,14.18
161,63,0,14.2
160,61,0,14.22
141,58,0,14.23
134,57,0,14.25
137,59,0,14.27
142,59,0,14.28
146,60,0,14.3
146,60,0,14.32
146,60,0,14.33
146,60,0,14.35
178,66,0,14.36
142,59,0,14.38
142,59,0,14.4
147,59,0,14.41
140,58,0,14.43
136,58,0,14.45
136,58,0,14.46
140,59,0,14.48
141,60,0,14.49
143,60,0,14.51
144,60,0,14.53
143,60,0,14.54
144,61,0,14.56
149,61,0,14.58
147,59,0,14.59
139,58,0,14.61
136,58,0,14.62
150,59,0,14.64
155,60,0,14.66
154,59,0,14.67
140,56,0,14.69
113,51,0,14.71
128,55,0,14.72
137,58,0,14.74
146,58,0,14.75
143,57,0,14.77
141,58,0,14.79
149,60,0,14.8
160,62,0,14.82
151,62,0,14.83
145,60,0,14.85
152,58,0,14.87
138,56,0,14.88
140,56,0,14.9
148,46,0,14.92
194,51,0,14.93
187,49,0,14.95
171,43,0,14.97
142,44,0,14.98
150,45,0,15
182,49,0,15.02
161,48,0,15.03
160,46,0,15.05
139,45,0,15.07
145,46,0,15.09
152,46,0,15.1
152,46,0,15.12
152,47,0,15.13
158,48,0,15.15
165,48,0,15.17
163,43,0,15.19
133,43,0,15.2
134,44,0,15.22
183,50,0,15.23
149,45,0,15.25
143,44,0,15.27
128,43,0,15.28
120,44,0,15.3
135,46,0,15.32
133,45,0,15.33
122,42,0,15.35
112,42,0,15.36
153,46,0,15.38
169,47,0,15.39
188,49,0,15.41
186,48,0,15.43
165,45,0,15.44
157,44,0,15.46
151,44,0,15.48
153,45,0,15.5
165,44,0,15.51
144,42,0,15.53
108,41,0,15.55
108,42,0,15.56
114,42,0,15.58
128,44,0,15.59
133,45,0,15.61
133,46,0,15.62
142,47,0,15.64
138,46,0,15.65
132,45,0,15.67
132,46,0,15.69
137,45,0,15.7
134,46,0,15.72
131,44,0,15.73
125,42,0,15.75
77,55,0,15.76
113,55,0,15.78
110,56,0,15.79
115,58,0,15.81
116,58,0,15.82
112,60,0,15.84
119,63,0,15.85
121,66,0,15.87
127,67,0,15.88
143,68,0,15.9
151,70,0,15.91
142,72,0,15.93
158,72,0,15.95
162,74,0,15.96
170,77,0,15.98
177,78,0,16
180,76,0,16.02
172,75,0,16.03
168,74,0,16.05
157,72,0,16.07
149,70,0,16.08
147,69,0,16.1
138,67,0,16.12
136,67,0,16.13
139,68,0,16.15
143,68,0,16.17
122,69,0,16.18
142,68,0,16.2
137,66,0,16.21
136,67,0,16.23
138,68,0,16.25
143,68,0,16.26
142,68,0,16.28
142,68,0,16.29
142,68,0,16.31
142,68,0,16.33
142,69,0,16.34
188,79,0,16.36
205,77,0,16.38
206,75,0,16.39
197,75,0,16.41
192,73,0,16.43
185,70,0,16.45
172,69,0,16.47
164,68,0,16.49
163,67,0,16.5
207,68,0,16.52
221,70,0,16.54
222,67,0,16.56
215,68,0,16.57
221,68,0,16.59
218,67,0,16.61
139,58,0,16.63
126,63,0,16.65
128,63,0,16.67
136,62,0,16.68
133,61,0,16.7
103,63,0,16.71
109,65,0,16.73
117,67,0,16.74
116,68,0,16.76
124,70,0,16.77
116,70,0,16.79
126,70,0,16.8
126,70,0,16.82
122,69,0,16.83
118,67,0,16.85
116,65,0,16.86
109,64,0,16.88
99,60,0,16.89
91,58,0,16.91
85,57,0,16.92
86,57,0,16.94
86,57,0,16.95
86,58,0,16.96
87,58,0,16.98
88,59,0,16.99
89,59,0,17
91,58,0,17.02
88,58,0,17.03
88,58,0,17.04
87,57,0,17.06
86,56,0,17.07
85,57,0,17.09
86,59,0,17.1
89,59,0,17.11
91,58,0,17.13
87,57,0,17.14
86,57,0,17.15
86,57,0,17.17
86,58,0,17.18
87,58,0,17.19
89,59,0,17.21
92,61,0,17.22
100,63,0,17.23
105,64,0,17.25
103,64,0,17.26
108,65,0,17.28
108,65,0,17.29
106,64,0,17.31
104,63,0,17.32
102,63,0,17.34
102,63,0,17.35
101,62,0,17.36
